"Widerrufsrecht: Verkäufer trägt die Rücksendekosten","Right of withdrawal: Seller pays return shipping"
"Widerrufsrecht: Käufer trägt die Rücksendekosten, wenn der Artikelpreis 40 Euro nicht übersteigt","Right of withdrawal: Buyer pays return shipping if item price does not exceed 40 Euro"
"Rückgaberecht: Verkäufer trägt die Rücksendekosten","Right of return: Seller pays return shipping"
"Expressversandoptionen","Express shipping options"
"DPD Express","DPD Express"
"Express Int'l Versand","Express International Shipping"
"GLS Paket","GLS Package"
"Sonstige 1 Werktag","Other 1 Business day"
"UPS Express","UPS Express"
"None","None"
"Deutsche Post Brief","Deutsche Post Letter"
"Deutsche Post Presse und Bücher Economy","Deutsche Post Magazines and Books Economy"
"Deutsche Post Presse und Bücher Priority","Deutsche Post Magazines and Books Priority"
"DHL Express Paket International","DHL Express Package International"
"DHL Päckchen International","DHL Small Package International"
"DHL Paket International","DHL Package International"
"Hermes Paket International","Hermes Package International"
"Promotional Versand","Promotional shipping"
"Sparversandoptionen","Economy shipping options"
"Deutsche Post Bücher-/Warensendung","Deutsche Post Books/Goods Shipping"
"Economy Int'l Versand","Economy Int'l Shipping"
"Standardversandoptionen","Standard shipping options"
"Deutsche Post Brief","Deutsche Post Letter"
"DHL Päckchen","DHL Small Package"
"DHL Paket","DHL Package"
"DPD Classic","DPD Classic"
"eBay Hermes Paket Shop2Shop (Abgabe und Zustellung im PaketShop)","eBay Hermes Package Shop2Shop (Drop-off and delivery in PaketShop)"
"eBay Hermes Paket Sperrgut Shop2Shop (Abgabe und Zustellung im Paketshop)","eBay Hermes Package Bulky Goods Shop2Shop (Drop-off and delivery in PaketShop)"
"Einschreiben","Registered mail"
"Hermes Päckchen","Hermes Small Package"
"Hermes Paket","Hermes Package"
"Hermes Paket Sperrgut","Hermes Package Bulky Goods"
"iloxx Transport","iloxx Transport"
"Nachnahme","Cash on delivery"
"Paketversand","Package Shipping"
"Sonder-/Speditionsversand","Special/Shipping services"
"Sonstige 1-2 Werktage","Other 1-2 Business day"
"Standard Int'l Versand","Standard Int'l Shipping"
"UPS Standard","UPS Standard"
"Versandoptionen aus dem Ausland","Shipping options from abroad"
"Expressversand aus dem Ausland","Express shipping from abroad"
"FedEx International Economy","FedEx International Economy"
"Sparversand aus dem Ausland","Economy shipping from abroad"
"Standardversand aus dem Ausland","Standard shipping from abroad"
"TNT International Express","TNT International Express"
"Versand mit Nachverfolgung aus dem Ausland","Tracked shipping from abroad"
"Versandoptionen aus dem Ausland","Shipping options from abroad"
"Selbstabholung","Pick-up by customer"
"Weltweit","Worldwide"
"Österreich","Austria"
"Australien","Australia"
"Nord- und Südamerika","North and South America"
"Asien","Asia"
"Kanada","Canada"
"Schweiz","Switzerland"
"Europa","Europe"
"Europäische Union","European Union"
"Japan","Japan"
"Kein Land","None"
"Vereinigte Staaten von Amerika","United States of America"
"Afrika","Africa"
"Asien","Asia"
"Mittelamerika und Karibik","Central America and Caribbean"
"Europa","Europe"
"Nordamerika","North America"
"Ozeanien","Oceania"
"Südamerika","South America"
"Naher Osten","Middle East"
"Südostasien","Southeast Asia"
"Ostfriesische Inseln","East Frisian Islands"
"Nordfriesische Inseln","North Frisian Islands"
"Hiddensee","Hiddensee"
"Postfach","P.O. Box"
"Packstation","Parcel deposit and pick-up station"
"Algerien","Algeria"
"Angola","Angola"
"Benin","Benin"
"Botswana","Botswana"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Demokratische Republik Kongo","Kongo, Democratic Republic of the"
"Dschibuti","Djibouti"
"Elfenbeinküste","Ivory Coast (Côte d’Ivoire)"
"Eritrea","Eritrea"
"Gabun","Gabon"
"Gambia","Gambia"
"Ghana","Ghana"
"Guinea","Guinea"
"Guinea-Bissau","Guinea-Bissau"
"Kamerun","Cameroon"
"Kapverdische Inseln","Cape Verde Islands"
"Kenia","Kenya"
"Komoren","Comoros"
"Kongo Republik (Brazzaville)","Kongo, Republic of the"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
"Madagaskar","Madagascar"
"Malawi","Malawi"
"Mali","Mali"
"Marokko","Morocco"
"Mauretanien","Mauretania"
"Mauritius","Mauritius"
"Mayotte","Mayotte"
"Mosambik","Mozambique"
"Namibia","Namibia"
"Niger","Niger"
"Nigeria","Nigeria"
"Reunion","Reunion"
"Ruanda","Rwanda"
"Saint Helena","Saint Helena"
"Sambia","Zambia"
"Senegal","Senegal"
"Seychellen","Seychelles"
"Sierra Leone","Sierra Leone"
"Somalia","Somalia"
"Swasiland","Swaziland"
"Südafrika","South Africa"
"Tansania","Tanzania"
"Togo","Togo"
"Tschad","Chad"
"Tunesien","Tunisia"
"Uganda","Uganda"
"West-Sahara","Western Sahara"
"Zentralafrikanische Republik","Central African Republic"
"Zimbabwe","Zimbabwe"
"Ägypten","Egypt"
"Äquatorial-Guinea","Equatorial Guinea"
"Äthiopien","Ethiopia"
"Afghanistan","Afghanistan"
"Armenien","Armenia"
"Aserbaidschan","Azerbaijan Republic"
"Bangladesch","Bangladesh"
"Bhutan","Bhutan"
"China","China"
"Georgien","Georgia"
"Indien","India"
"Japan","Japan"
"Kasachstan","Kazakhstan"
"Kirgistan","Kyrgyzstan"
"Malediven","Maldives"
"Mongolei","Mongolia"
"Nepal","Nepal"
"Pakistan","Pakistan"
"Sri Lanka","Sri Lanka"
"Südkorea","South Korea"
"Tadschikistan","Tajikistan"
"Turkmenistan","Turkmenistan"
"Usbekistan","Uzbekistan"
"Russische Föderation","Russian Federation"
"Russische Föderation","Russian Federation"
"Albanien","Albania"
"Andorra","Andorra"
"Belgien","Belgium"
"Bosnien und Herzegowina","Bosnia and Herzegovina"
"Bulgarien","Bulgaria"
"Dänemark","Denmark"
"Estland","Estonia"
"Finnland","Finland"
"Frankreich","France"
"Gibraltar","Gibraltar"
"Griechenland","Greece"
"Großbritannien","Great Britain"
"Guernsey","Guernsey"
"Irland","Ireland"
"Island","Iceland"
"Italien","Italy"
"Jersey","Jersey"
"Kroatien","Croatia"
"Lettland","Latvia"
"Liechtenstein","Liechtenstein"
"Litauen","Lithuania"
"Luxemburg","Luxembourg"
"Malta","Malta"
"Mazedonien","Macedonia"
"Moldawien","Moldova"
"Monaco","Monaco"
"Montenegro","Montenegro"
"Niederlande","Netherlands"
"Norwegen","Norway"
"Polen","Poland"
"Portugal","Portugal"
"Rumänien","Romania"
"San Marino","San Marino"
"Schweden","Sweden"
"Schweiz","Switzerland"
"Serbien","Serbia"
"Slowakei","Slovakia"
"Slowenien","Slovenia"
"Spanien","Spain"
"Svalbard and Jan Mayen","Svalbard and Jan Mayen"
"Tschechische Republik","Czech Republic"
"Ukraine","Ukraine"
"Ungarn","Hungary"
"Vatikanstadt (Heiliger Stuhl)","Vatican City (Holy Sea)"
"Weißrussland","Belarus"
"Zypern","Cyprus"
"Österreich","Austria"
"Amerikanische Jungferninseln","United States Virgin Islands"
"Anguilla","Anguilla"
"Antigua und Barbuda","Antigua and Barbuda"
"Aruba","Aruba"
"Bahamas","Bahamas"
"Barbados","Barbados"
"Belize","Belize"
"Britische Jungferninseln","British Virgin Islands"
"Cayman-Inseln","Cayman Islands"
"Costa Rica","Costa Rica"
"Dominica","Dominica"
"Dominikanische Republik","Dominican Republic"
"El Salvador","El Salvador"
"Grenada","Grenada"
"Guadeloupe","Guadeloupe"
"Guatemala","Guatemala"
"Haiti","Haiti"
"Honduras","Honduras"
"Jamaika","Jamaica"
"Martinique","Martinique"
"Montserrat","Montserrat"
"Niederländische Antillen","Netherlands Antilles"
"Nikaragua","Nicaragua"
"Panama","Panama"
"Puerto Rico","Puerto Rico"
"Saint Kitts-Nevis","Saint Kitts-Nevis"
"Saint Lucia","Saint Lucia"
"Saint Vincent und die Grenadinen","Saint Vincent and the Grenadines"
"Trinidad und Tobago","Trinidad and Tobago"
"Turks und Caicos-Inseln","Turks and Caicos Islands"
"Bahrain","Bahrain"
"Iraq","Iraq"
"Israel","Israel"
"Jemen","Jemen"
"Jordanien","Jordan"
"Katar","Qatar"
"Kuwait","Kuwait"
"Libanon","Lebanon"
"Oman","Oman"
"Saudi Arabien","Saudi Arabia"
"Türkei","Turkey"
"Vereinigte Arabische Emirate","United Arab Emirates"
"Bermuda","Bermuda"
"Grönland","Greenland"
"Kanada","Canada"
"Mexiko","Mexico"
"Saint Pierre und Miquelon","Saint Pierre and Miquelon"
"Vereinigte Staaten von Amerika","United States of America"
"Amerikanisch Samoa","American Samoa"
"Australien","Australia"
"Cook-Inseln","Cook Islands"
"Fidschi-Inseln","Fiji"
"Französisch-Polynesien","French Polynesia"
"Guam","Guam"
"Kiribati","Kiribati"
"Marshall-Inseln","Marshall Islands"
"Mikronesien","Micronesia"
"Nauru","Nauru"
"Neukaledonien","New Caledonia"
"Neuseeland","New Zealand"
"Niue","Niue"
"Palau","Palau"
"Papua-Neuguinea","Papua New Guinea"
"Salomonen (Salomon-Inseln)","Solomon Islands"
"Tonga","Tonga"
"Tuvalu","Tuvalu"
"Vanuatu","Vanuatu"
"Wallis und Futuna-Inseln","Wallis and Futuna Islands"
"West-Samoa","Western Samoa"
"Brunei Darussalam","Brunei Darussalam"
"Hong Kong","Hong Kong"
"Indonesien","Indonesia"
"Kambodscha","Cambodia"
"Laos ","Laos "
"Macau","Macau"
"Malaysia","Malaysia"
"Philippinen","Philippines"
"Singapur","Singapore"
"Taiwan","Taiwan"
"Thailand","Thailand"
"Vietnam","Vietnam"
"Argentinien","Argentina"
"Bolivien","Bolivia"
"Brasilien","Brazil"
"Chile","Chile"
"Ecuador","Ecuador"
"Falklandinseln (Islas Malvinas)","Falkland Islands (Islas Malvinas)"
"Französisch-Guyana","French Guiana"
"Guyana","Guyana"
"Kolumbien","Columbia"
"Paraguay","Paraguay"
"Peru","Peru"
"Surinam","Suriname"
"Uruguay","Uruguay"
"Venezuela","Venezuela"
"Vaglia postale","Money order"
"Assegno","Check"
"Visa o Master Card","Visa or MasterCard"
"American Express","American Express"
